"word","question_prompt_pre","question_prompt_post","question_type","bin","choice1","choice2","choice3","choice4","choice5"
"adopted","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"although","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"announced","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"Arabella","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"babies","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"beard","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"berry","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"blueberry","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"bout","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"brushed","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"bunting","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"camper","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"cents","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"chick","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"church","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"cocky","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
"constrictor","Is the word","...","gender",4,"Very masculine","Somewhat masculine","Neither masculine nor feminine","Somewhat feminine","Very feminine"
